Contract Line Item Number (CLIN) 	Manufacturer Part Number (OEM #) 	Manufacturer (OEM) 	SKU # / Item # 	Item Description 	Unit of Measure 	Quantity in Unit of Measure (If Applicable) 	List Price/MSRP 	Contract Unit Price 	Contract Discount 	Category 
1088	370-ACHW 	DELL 	370-ACHW 	16GB (2x8G) 2133MHz DDR4 Memory (7440 AIO) 	EACH 	1	$260.00 	$176.80 	32%	Components 
										
1089	400-AKYB 	DELL 	400-AKYB 	256GB PCIe Solid State Drive 	EACH 	1	$400.00 	$272.00 	32%	Components 
										
1090	400-AHIF 	DELL 	400-AHIF 	2.5 inch 512GB SATA Solid State Drive 	EACH 	1	$900.00 	$612.00 	32%	Components 
										
1091	400-AHZH 	DELL 	400-AHZH 	2.5 inch 500GB 7200rpm FIPS Certified Self-Encrypting Hard Drive 	EACH 	1	$160.00 	$108.80 	32%	Components 
										
1092	"391-BCNF, 490- BCTH "	DELL 	"391-BCNF, 490- BCTH "	4K TOUCH LCD 	EACH 	1	$685.00 	$465.80 	32%	Components 
										
1800b 	858-BBCU 	DELL 	858-BBCU 	"P2016 19.5"" WideScreen Monitor "	EACH 	1	$189.99 	$129.20 	32%	Monitors 
										
1801a 	TD2220 	VIEWSONIC 	TD2220 	"22"" Touchscreen monitor "	EACH 	1	$445.00 	$302.60 	32%	Monitors 
										
1802a 	320-9704 	DELL 	320-9704 	"P2213 22"" Widescreen Monitor "	EACH 	1	$219.99 	$149.59 	32%	Monitors 
										
1803c 	320-9794 	DELL 	320-9794 	"P2414H 24"" Widescreen Monitor "	EACH 	1	$299.99 	$204.00 	32%	Monitors 
										
